,Country,City,Date,Max Temp,Cloudiness,Humidity,Lat,Lng,Wind Speed
81,UY,Chui,1651623760,56.1,23,81,-33.6971,-53.4616,6.29
82,US,Albany,1651623543,57.88,100,71,42.6001,-73.9662,3.0
83,PK,Khuzdar,1651623888,70.61,0,42,27.7384,66.6434,4.43
84,CA,Ridgetown,1651623888,49.86,100,99,42.4334,-81.8998,6.38
85,BR,Castro,1651623889,61.7,100,96,-24.7911,-50.0119,7.34
86,JP,Katsuura,1651623763,65.57,0,60,35.1333,140.3,16.51
87,AR,Necochea,1651623889,52.03,0,67,-38.5473,-58.7368,13.15
88,US,Lompoc,1651623890,75.69,0,65,34.6391,-120.4579,30.0
89,NZ,Kaeo,1651623891,65.32,52,88,-35.1,173.7833,12.03
90,PT,Ribeira Grande,1651623891,62.91,93,86,38.5167,-28.7,11.34
91,ZA,Bredasdorp,1651623784,59.5,9,98,-34.5322,20.0403,4.34
92,FR,Arrondissement de Dieppe,1651623892,48.18,58,94,49.75,1.1667,5.26
93,MU,Mahébourg,1651623892,75.49,75,88,-20.4081,57.7,5.75
94,ZA,Hermanus,1651623775,63.81,2,94,-34.4187,19.2345,8.84
95,CL,Ancud,1651623893,53.13,100,97,-41.8697,-73.8203,10.13
96,AR,Río Cuarto,1651623894,56.48,0,66,-33.1307,-64.3499,9.22
97,BR,Iranduba,1651623894,79.09,36,94,-3.2847,-60.1861,1.83
98,CA,Sicamous,1651623882,72.57,100,51,50.8331,-118.9856,0.63
99,AO,Malanje,1651623895,61.29,33,80,-9.5402,16.341,4.18
100,BR,Conceição do Araguaia,1651623896,81.16,100,65,-8.2578,-49.2647,1.21
101,NG,Wukari,1651623896,79.7,83,75,7.85,9.7833,6.22
102,PT,Vila Franca do Campo,1651623897,64.2,100,78,37.7167,-25.4333,3.94
103,PE,Pucallpa,1651623898,82.44,75,78,-8.3791,-74.5539,0.0
104,NE,Bilma,1651623898,87.84,34,15,18.6853,12.9164,9.91
105,US,Sturgis,1651623882,54.07,100,89,41.7992,-85.4192,6.91
106,BR,Caucaia,1651623899,83.03,20,76,-3.7361,-38.6531,6.91
107,NL,Amsterdam,1651623891,46.89,75,71,52.374,4.8897,4.61
108,ZA,Cape Town,1651623665,62.91,2,88,-33.9258,18.4232,8.05
109,KI,Butaritari,1651623900,81.81,23,76,3.0707,172.7902,12.3
110,SE,Kiruna,1651623900,23.92,75,85,67.8557,20.2251,10.36
111,SE,Härnösand,1651623901,32.02,1,65,62.6323,17.9379,14.54
112,BR,Arraial do Cabo,1651623695,76.96,20,83,-22.9661,-42.0278,11.5
113,RU,Batagay-Alyta,1651623902,16.61,99,84,67.8006,130.4114,2.15
114,PE,Pangoa,1651623903,70.43,91,92,-12.1167,-73.0,2.64
115,RU,Ust-Nera,1651623904,30.76,62,85,64.5667,143.2,4.18
116,RU,Pushkino,1651623609,46.09,94,79,56.0172,37.8667,9.73
117,ES,Santa Lucía,1651623905,58.32,75,68,27.9117,-15.5407,20.71
118,SS,Yambio,1651623905,66.88,74,98,4.5721,28.3955,1.16
119,US,Fortuna,1651623906,60.93,20,73,40.5982,-124.1573,18.41
120,GL,Upernavik,1651623906,5.85,15,98,72.7868,-56.1549,6.73
121,SO,Bandarbeyla,1651623907,81.95,45,84,9.4942,50.8122,6.89
122,FR,Nevers,1651623908,58.75,43,78,46.9896,3.159,4.47
123,ZA,Phuthaditjhaba,1651623908,49.26,0,67,-28.5242,28.8158,2.19
124,ZA,Port Alfred,1651623770,59.18,68,96,-33.5906,26.891,6.58
125,LR,Harper,1651623909,80.92,2,80,4.375,-7.7169,6.67
126,RU,Saskylakh,1651623749,21.16,95,92,71.9167,114.0833,7.72
127,PH,Yumbing,1651623910,81.88,34,74,9.2393,124.6578,9.89
128,GL,Ilulissat,1651623910,26.62,100,80,69.2167,-51.1,5.75
129,AR,Rawson,1651623630,63.61,100,43,-43.3002,-65.1023,17.13
130,TO,Vaini,1651623757,80.76,40,69,-21.2,-175.2,9.22
131,US,Lewiston,1651623665,53.94,0,71,44.1003,-70.2148,8.05
132,RU,Provideniya,1651623912,15.91,75,73,64.3833,-173.3,11.18
133,RU,Mezen',1651623912,27.93,100,96,65.8522,44.24,10.67
134,MX,Empalme,1651623913,85.35,40,57,27.9667,-110.8167,12.66
135,US,Fredericksburg,1651623537,67.82,40,81,38.3032,-77.4605,10.36
136,SA,Sakakah,1651623914,80.17,13,21,29.9697,40.2064,7.49
137,RU,Dno,1651623914,34.83,85,77,57.8277,29.9637,7.92
138,FR,Arrondissement de Troyes,1651623915,50.77,0,81,48.3333,4.0833,10.36
139,US,Saint Paul Harbor,1651623915,45.91,100,76,57.79,-152.4072,9.22
140,NA,Khorixas,1651623916,67.71,10,30,-20.3667,14.9667,10.58
141,US,Broome,1651623917,65.66,0,65,42.2506,-75.833,11.5
142,PG,Kavieng,1651623747,84.06,76,74,-2.5744,150.7967,6.67
143,AU,Byron Bay,1651623918,71.49,33,77,-28.65,153.6167,3.6
144,BJ,Porto-Novo,1651623853,84.02,77,82,6.4965,2.6036,5.19
145,US,Pacific Grove,1651623697,78.39,0,64,36.6177,-121.9166,10.36
146,BW,Palapye,1651623919,57.69,0,64,-22.546,27.1251,2.35
147,DE,Steinbach am Taunus,1651623919,57.07,0,54,50.1667,8.5667,6.91
148,TC,Cockburn Town,1651623696,78.76,40,78,21.4612,-71.1419,14.97
149,RO,Asău,1651623920,49.95,99,87,46.4333,26.4,3.87
150,MR,Atar,1651623921,82.74,0,14,20.5169,-13.0499,9.1
151,PG,Samarai,1651623922,83.32,13,71,-10.6167,150.6667,5.5
152,IR,Bardsīr,1651623922,57.36,0,29,29.9227,56.5743,4.0
153,RU,Zima,1651623754,41.85,50,64,53.9202,102.0442,11.41
154,CA,La Ronge,1651623923,32.25,100,86,55.1001,-105.2842,10.36
155,RU,Severo-Kuril'sk,1651623924,35.2,100,99,50.6789,156.125,12.17
156,AR,Concordia,1651623924,53.17,1,84,-31.393,-58.0209,5.55
157,FO,Klaksvík,1651623925,47.32,100,98,62.2266,-6.589,14.79
158,SA,Faya,1651623774,64.51,12,49,18.3851,42.4509,5.14
159,BR,Alto Araguaia,1651623926,66.76,66,93,-17.3147,-53.2153,11.25
160,PK,Turbat,1651623926,82.69,0,37,26.0023,63.044,2.55
161,IS,Olafsvik,1651623927,34.77,71,66,64.8945,-23.7142,16.96
162,CA,Moose Factory,1651623927,35.58,100,69,51.2585,-80.6094,8.05
163,FR,Hauterive,1651623928,50.76,78,90,46.0901,3.4459,2.21
164,ZM,Chadiza,1651623928,55.42,17,99,-14.0678,32.4392,4.94
165,NA,Oranjemund,1651623929,56.34,10,86,-28.55,16.4333,4.23
166,RU,Severobaykal'sk,1651623930,34.5,19,70,55.65,109.3167,3.02
167,IR,Gonbad-e Kāvūs,1651623930,59.95,98,83,37.25,55.1672,3.4
168,RU,Kargasok,1651623931,32.16,27,92,59.0556,80.8572,6.89
169,DO,La Romana,1651623931,79.16,20,83,18.4273,-68.9728,0.0
170,CA,Norman Wells,1651623867,60.84,75,39,65.282,-126.8329,19.57
171,RU,Solomenskoye,1651623932,46.17,100,83,44.2167,44.3528,6.69
172,BR,Rio Claro,1651623933,69.19,7,56,-22.4114,-47.5614,4.36
173,US,Dillon,1651623714,78.82,64,77,34.4166,-79.3712,8.81
174,BR,Coruripe,1651623934,76.57,32,91,-10.1256,-36.1756,5.88
175,MZ,Nacala,1651623934,68.95,3,86,-14.5428,40.6728,9.1
176,BR,Areia Branca,1651623909,79.84,72,81,-4.9561,-37.1369,18.72
177,NA,Lüderitz,1651623763,65.32,0,55,-26.6481,15.1594,9.53
178,SJ,Longyearbyen,1651623769,12.04,20,62,78.2186,15.6401,4.61
179,RU,Petropavlovsk-Kamchatskiy,1651623936,37.99,75,60,53.0452,158.6483,4.47
180,US,Southbridge,1651623936,54.23,100,88,42.0751,-72.0334,4.0
181,PE,Chicama,1651623937,63.14,31,75,-7.8447,-79.1469,5.7
182,US,Hamilton,1651623666,73.24,0,77,39.1834,-84.5333,10.36
183,CN,Binzhou,1651623938,76.14,0,29,37.3667,118.0167,14.52
184,GL,Maniitsoq,1651623938,21.54,90,83,65.4167,-52.9,25.7
185,MG,Ambilobe,1651623939,69.96,24,90,-13.2,49.05,3.71
186,AU,Hervey Bay,1651623939,76.01,9,80,-25.2986,152.8535,7.0
187,AU,Alice Springs,1651623657,67.55,21,37,-23.7,133.8833,8.05
188,EE,Võhma,1651623940,30.78,15,73,58.6283,25.5483,6.71
189,KH,Kampong Thom,1651623941,73.11,100,93,12.7111,104.8887,4.9
190,MV,Hithadhoo,1651623761,79.81,100,86,-0.6,73.0833,21.52
191,PH,San Policarpo,1651623759,82.76,81,70,12.1791,125.5072,10.27
192,AR,San Miguel de Tucumán,1651623942,59.0,0,63,-26.8241,-65.2226,6.91
193,MU,Cap Malheureux,1651623942,74.46,9,80,-19.9842,57.6142,5.01
194,NG,Abonnema,1651623943,78.21,83,89,4.7084,6.7931,4.43
195,RU,Yerbogachën,1651623944,29.52,100,90,61.2767,108.0108,14.43
196,CA,Haines Junction,1651623944,46.35,97,46,60.7522,-137.5108,9.22
197,CN,Lishui,1651623945,64.27,97,50,28.4604,119.9103,1.95
198,RU,Severnoye,1651623945,36.64,20,74,56.3491,78.3619,4.07
199,CN,Altay,1651623946,51.3,37,79,47.8667,88.1167,2.64
200,US,Jamestown,1651623746,62.19,75,88,42.097,-79.2353,9.22
201,CN,Linjiang,1651623947,61.61,7,46,41.8069,126.9078,5.79
202,MX,Chalchihuites,1651623948,78.37,96,6,23.4833,-103.8833,19.75
203,RE,Saint-Philippe,1651623948,69.39,43,83,-21.3585,55.7679,10.51
204,NZ,Ahipara,1651623792,68.67,48,65,-35.1667,173.1667,9.42
205,GA,Port-Gentil,1651623949,81.68,100,81,-0.7193,8.7815,10.6
206,US,Mattawa,1651623950,73.02,14,37,46.7379,-119.9028,15.99
207,ID,Amahai,1651623950,84.33,61,72,-3.3333,128.9167,1.72
208,RU,Talnakh,1651623951,18.21,100,94,69.4865,88.3972,7.27
209,GB,Bridlington,1651623951,48.88,100,88,54.0831,-0.1919,10.96
210,RE,Saint-Joseph,1651623952,68.38,20,82,-21.3667,55.6167,10.8
211,US,Lake Saint Louis,1651623952,55.17,100,82,38.7976,-90.7857,11.5
212,RU,Srednekolymsk,1651623953,34.09,100,100,67.45,153.6833,4.47
213,CA,Bonavista,1651623953,36.48,100,96,48.6499,-53.1147,15.73
214,CA,Terrace,1651623771,44.51,100,93,54.5163,-128.6035,14.97
215,BR,Paraisópolis,1651623954,62.87,60,89,-22.5542,-45.78,1.72
216,MG,Maroantsetra,1651623955,74.97,45,86,-15.4333,49.7333,6.96
217,RU,Zyryanka,1651623955,34.56,92,95,65.75,150.85,7.45
218,CO,Puerto Colombia,1651623956,82.49,100,86,10.9878,-74.9547,19.69
219,UA,Voronovytsya,1651623957,47.55,68,91,49.1095,28.6808,6.17
220,US,Kenai,1651623957,53.02,100,55,60.5544,-151.2583,14.97
221,US,Wyndham,1651623958,68.02,75,86,37.6985,-77.6125,3.0
222,PF,Faanui,1651623958,81.34,63,75,-16.4833,-151.75,12.1
223,PG,Ambunti,1651623959,76.12,100,98,-4.2365,142.8448,0.89
224,US,Huron,1651623959,67.44,100,82,41.1501,-82.5499,18.48
225,RU,Shirokiy,1651623960,45.54,100,60,49.758,129.523,15.26
226,RU,Bukachacha,1651623960,47.61,85,67,52.9833,116.9167,7.34
227,UY,Rocha,1651623961,51.21,26,87,-34.4833,-54.3333,0.94
228,CA,Halifax,1651623719,44.69,14,76,44.6453,-63.5724,8.01
229,US,Burkburnett,1651623962,64.18,100,64,34.0979,-98.5706,10.36
230,CF,Bossangoa,1651623963,70.11,100,89,6.4926,17.4552,3.38
231,MU,Souillac,1651623964,75.58,75,88,-20.5167,57.5167,5.75
232,JP,Hasaki,1651623776,68.4,0,59,35.7333,140.8333,17.63
233,AU,Port Hedland,1651623965,82.45,0,47,-20.3167,118.5667,20.71
234,PF,Vaitape,1651623966,81.32,61,75,-16.5167,-151.75,12.12
235,US,Missoula,1651623966,53.85,85,48,47.0166,-113.8009,7.72
236,IN,Chetwayi,1651623967,77.94,100,87,10.5333,76.05,8.9
237,MX,Progreso,1651623968,89.71,8,80,21.2833,-89.6667,19.1
238,IN,Fatehpur,1651623968,85.15,22,50,25.9333,80.8,10.0
239,IS,Husavik,1651623748,31.06,100,97,66.0449,-17.3389,10.96
240,ES,Muros,1651623969,57.09,6,74,42.7762,-9.0603,14.88
241,MX,Valle de Santiago,1651623970,87.94,99,10,20.3833,-101.2,3.98
242,RU,Khatanga,1651623970,18.07,100,91,71.9667,102.5,5.82
243,CL,Coyhaique,1651623971,48.15,100,81,-45.5752,-72.0662,8.05
244,US,‘Āhuimanu,1651623971,82.11,75,67,21.4447,-157.8378,21.85
245,NA,Opuwo,1651623972,63.43,0,41,-18.0607,13.84,7.36
